,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14,Level 15,Level 16,Level 17,Level 18,Level 19,Level 20,Level 21,Level 22,Level 23,Level 24,Level 25,Level 26,Level 27,Level 28,Level 29
Topic 0,0.37998646186554025,0.3543941727089817,0.34270319340508576,0.33973400434172696,0.296672624611397,0.36525089573982733,0.34037029625924364,0.32294833719048555,0.28225673942108603,0.003673850199443872,0.5287266787973158,0.4200002099318008,0.6836438505772762,0.48191199195467826,-0.11074752779765247,-0.2651525806067276,0.9089940078352701,-0.17294557761027607,0.9999187671536905,-0.9553029700883182,1.0,,,,,,,,
Topic 1,0.35943780453581764,0.20740273426565173,0.21199928675301283,0.19735155065323384,0.1739125938063736,0.18725487141278985,0.17098877015610758,0.05329123946175051,0.02172600244786002,0.012602923730403724,0.13160794381164373,-0.10179914278304976,-0.08107399827511581,-0.07667799479356271,-0.07727439866313775,-0.12337609205388267,-0.4503473263726956,0.29165297520734706,-0.3729087895368263,-0.40733519420610237,1.0,,,,,,,,
Topic 2,0.3718845292963885,0.29678638866227897,0.30419758847446543,0.27496415614069775,0.3063454073149648,0.2980542446740034,0.2185383274325651,0.2398369751730337,0.3675728269938587,0.5127979034474031,0.5066623486862842,0.46352671810479584,0.5261767973169302,0.38209807792481537,0.9387016413704697,-0.4483401433736698,-0.1571214921562125,0.27226467774971513,0.41753062486069487,0.39194716243187533,-1.0,,,,,,,,
Topic 3,0.2829557032250245,0.3643851634367928,0.30619730102773995,0.3188214680380216,0.2941339208228617,0.2692935989128983,0.28140274611435157,0.2686718875443863,0.5194698182777691,0.015351201352996693,-0.0421030971711208,-0.01640161816833101,0.14830291746327348,-0.052247292879582075,-0.11348871190429927,-0.1014462101310254,-0.2681151951163213,0.6360486727191651,-0.2315700177508677,-0.3943510099577699,-1.0,,,,,,,,
Topic 4,0.34352507053552545,0.30159497999757895,0.2914253863238674,0.29995199857950394,0.34338628511731206,0.25805560244028747,0.3078882665859152,0.24941761518807196,0.2491794243078138,0.5232167215708938,0.17247207503489767,0.42555232686604816,0.5378393489498007,0.8649423032209781,0.4970782973294569,0.7511520928222147,0.7346810589314439,0.6033387826142659,0.26649263765195474,-0.1505919815925083,-1.0,,,,,,,,
Topic 5,0.3775177829106187,0.22526935384657315,0.22701354289524314,0.19079643455714443,0.23039131183677777,0.2523596530967249,0.1957848589478352,0.22305649847949818,0.1484133020163948,0.1517616777812935,0.4700122913149229,0.2778283259370428,-0.08304191495526118,0.8947641198644791,0.20540637648994808,-0.11639929224591515,-0.29716577593273946,0.27846669192090434,-0.014763864215109281,0.5220872932948363,-1.0,,,,,,,,
Topic 6,0.28971454092154847,0.324943744935582,0.30070605792116173,0.3530961753263728,0.3101123123996918,0.3175150656693028,0.22306700881278668,0.2259219476004751,0.18769131550677598,0.31574707663326607,0.23392016553644882,0.2609342637142499,0.23620451919763835,0.1564780072503992,0.12492382653435957,0.34634839999404143,0.8549833890888056,0.2651495165433744,0.315938967655975,0.9462630465266932,1.0,,,,,,,,
Topic 7,0.26955233418431385,0.23751942902306478,0.23709439998469709,0.24504745333447747,0.23418963600970236,0.21459664391747132,0.21212617177150417,0.2649456065357411,0.2549573999307839,0.2473664553468113,0.3520882751643267,0.13815770731351404,0.13424819502342744,0.41805073462964143,0.22986793437801636,0.48786851547614296,0.6664007797359498,0.6743565017521996,0.8937547670518423,0.2368353995157351,-1.0,,,,,,,,
Topic 8,0.33871885426855974,0.26847092426144686,0.25570250786105286,0.2711278092810536,0.2513878133033589,0.2116226086662578,0.20647711117011586,0.3590638456707176,0.2462009249863855,0.13496530540154386,0.26899849635147355,0.11512453341409498,0.46909559252623945,-0.10031142071635839,-0.07928766138818286,-0.1430162065565712,-0.0916202720337663,0.3550999525531679,-0.40947285595413857,0.9854406785634083,-1.0,,,,,,,,
Topic 9,0.174570429479286,0.2523614578239019,0.19567161539093242,0.23650996322384366,0.22191485742682285,0.1968157620252695,0.23983131250605622,0.17497036069001778,0.05684542623171618,0.07858557016442408,0.37649164521030154,0.10932074992792978,0.19177162668241982,0.8701319398188592,0.5299700573721807,0.49879027043092417,0.7118789881446754,-0.18694448756772822,-0.44246394852244975,0.41663504283180647,1.0,,,,,,,,
