,Level 1,Level 1 low,Level 1 high,Level 2,Level 2 low,Level 2 high,Level 3,Level 3 low,Level 3 high,Level 4,Level 4 low,Level 4 high,Level 5,Level 5 low,Level 5 high,Level 6,Level 6 low,Level 6 high,Level 7,Level 7 low,Level 7 high,Level 8,Level 8 low,Level 8 high,Level 9,Level 9 low,Level 9 high,Level 10,Level 10 low,Level 10 high
Topic 0,0.37907815183930116,0.35131840128592634,0.40534094857831104,0.25694305938022866,0.2211941420093878,0.2925788539626311,0.22446048935528967,0.18131606813891055,0.26655561653542326,0.16855795092789877,0.10559822923351905,0.23491516676605606,0.12813752317668042,0.06808850367068164,0.1937465020856882,0.090752701224547,0.00949065430105088,0.18856791803685236,0.03923007784047425,-0.027419129554646014,0.13827300641291776,0.05098489426377403,-0.036891938657497896,0.1695379707887885,0.15538425547304344,-0.054661175105756944,0.5075096457881831,-0.026785755841434368,-0.05634618912104126,0.03875704256958672
Topic 1,0.3564729316739417,0.33766467993210336,0.3768313619531857,0.1671388568362638,0.14499913907382048,0.18843386211658764,0.1594206444804865,0.13257888686883834,0.18994840310957045,0.11367744943227694,0.08108725723139444,0.1497746848090129,0.11267052273154911,0.062058930636751435,0.1630424646302081,0.06550026978583055,0.009049085023196492,0.13326616544731182,0.033941764969123815,-0.019130709257609624,0.09710522135371538,0.056228660490409456,-0.03418096472283932,0.1700890601855102,0.010908660065765003,-0.0776186489239388,0.1290564030375697,-0.006520230475171767,-0.11326040746926835,0.14746611826441475
Topic 2,0.3720776466773632,0.35489102848862036,0.3893076269505934,0.2761416349679981,0.2534008841957839,0.30246058144679433,0.17755952997390498,0.1523529103126654,0.20328086649288513,0.1358305189272139,0.10357964479332922,0.16890652711650822,0.09657046944179284,0.06094839716845285,0.13747300129801218,0.09051124365894614,0.030092668241938722,0.15525198410714086,0.10091150081054447,0.025835646831705947,0.18526992572529513,0.2004557825545217,0.04249080484583335,0.34898124528942115,0.09108789285477702,-0.03188320458132734,0.22631668623376996,0.026373489997244755,-0.09594187112947197,0.19128159230604155
Topic 3,0.2827605165593798,0.25728101493474514,0.3094954188642369,0.1850252731639014,0.1529748514752879,0.21576424929525123,0.14955960262162246,0.11676452190636143,0.18449499439435774,0.16223640482449653,0.11754331145213497,0.21254067851995265,0.10711269822573308,0.05581553317890655,0.17164241441123754,0.057932274834581805,0.012612409355085293,0.11195264140774015,0.09394571000180482,0.015312126175460492,0.18685838013356357,0.11070734450070202,-0.03764997948439253,0.3479721351755756,0.05909613836921663,-0.048939117717842796,0.28606836434591637,-0.04883676156288833,-0.08309918791870669,-0.030042762607578828
Topic 4,0.3456535965790086,0.3263519985799206,0.3649336850322309,0.22228969941012094,0.19921022307127623,0.24711663487214341,0.1828478092716751,0.15633244215986797,0.20959176830853432,0.15001734688252882,0.11467953623369687,0.18895863485226233,0.12095043333163535,0.07987082016696455,0.1647277290258952,0.07998888202501035,0.0190180077003021,0.14612266287959597,0.06124680620616364,-0.006779479428486536,0.13039002301522573,0.09430536108755416,-0.012035937497293297,0.2542551370117267,0.1161881308039638,-0.03355029859451944,0.30387904388530096,0.05692305628203056,-0.06507186967047153,0.3287543204693261
Topic 5,0.3762237094460621,0.3581020865918413,0.39326917280794804,0.21012289075994808,0.1889211599126288,0.2332803755750104,0.1457687286340122,0.12155844635649612,0.1717477915523718,0.13787914329216372,0.10079621323654976,0.17559858008365356,0.09263809194187275,0.05037564925312435,0.13561896111430888,0.051437121889334095,-0.011614544060270853,0.12404777103111483,0.09162737027854106,0.013146094546217636,0.18437747770125854,0.11004662623348979,0.004374041126666942,0.22496020234421676,0.07544681970672791,-0.03300612719796934,0.2341168297293321,0.22801728837481827,-0.04216122361567999,0.5014961940330579
Topic 6,0.2953016499836254,0.2679535752935728,0.3281652499192136,0.2086187952641757,0.1795635838618197,0.23781078325278493,0.1177151720806059,0.0877980716426428,0.14689185769229346,0.1700541898666596,0.11341297278546848,0.22637006786034583,0.07248055584226494,0.018412558662213103,0.1330169880233973,0.12834133690957245,0.05990488588059862,0.2108660840505028,0.19224384288858873,0.07894059653733801,0.3140867161120926,0.23332402916016662,0.08549321535748401,0.387651262169896,0.12478899114477598,-0.008391521443520301,0.3063846132111907,0.061449958200764536,-0.06713970989146653,0.2743541474579831
Topic 7,0.2683526515414383,0.25037786069939627,0.2854988924613884,0.18141623563906104,0.16470330613865303,0.19965407012087658,0.1364536394881793,0.11479803462325831,0.15884039019438081,0.1445204577430776,0.1182990248991735,0.17505867337410524,0.09116563253833647,0.054565708067555355,0.13172133217818807,0.13944777981214268,0.08293683795791114,0.194613949793519,0.08035119543345302,0.011075247999900983,0.15546798101130244,0.13814854916388428,0.0341900069062984,0.2413978589671437,0.09967032721223303,-0.01798531834732794,0.2437278732710024,0.25707063958275017,0.07262934064442751,0.4516185722186327
Topic 8,0.337991158620512,0.31457464562777593,0.36077091417780216,0.24909556487775542,0.22109617547557792,0.27925125855340793,0.18838676707788407,0.15683790872518424,0.21886811089362734,0.16441854736006273,0.11772493457836826,0.2101068074787605,0.09283946471491805,0.04764649719261183,0.1411250133594685,0.15316822886557824,0.07442367564631118,0.23621866729237753,0.21291751706426065,0.08000175145035902,0.3670554236243772,0.2045939972487024,0.06038151226263479,0.3538937249367302,0.13222328331543654,-0.031088865544038977,0.35304848441342224,0.10623762427043268,-0.07141587591548637,0.3606373013756992
Topic 9,0.17228523379104316,0.15582863151446955,0.1882664127881568,0.1330111929535841,0.11288573324731212,0.1538860033885151,0.09122077621537819,0.07130508005308515,0.1134109233994606,0.04958766807846468,0.021365609631260895,0.08096649064003583,0.07237480550327254,0.03798220290078384,0.11114614438666996,0.03507463657292964,-0.006552010270738959,0.08131857355038453,0.06064739241677035,-0.020809931143000955,0.1635624210365459,0.042328119957502824,-0.025931262086694835,0.12884277911410624,0.04014154051719903,-0.0858413773050739,0.1800099302004156,0.25472294700827897,0.0059942771804180825,0.5013970831117642
